grant_name,state,amount,industry,slug,deadline,description
Georgia Women-Owned Startup Fund,Georgia,"$25,000",Retail/Service,georgia-women-owned-startup-fund,December 2026,"Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Georgia Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Georgia Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Georgia Women-Owned Startup Fund, helping you navigate the complex US grant landscape. Small business owners in Georgia can now access the Georgia Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Our directory provides the roadmap to securing the Georgia Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
Michigan Growth Grant for Minorities,Michigan,"$10,000",General,michigan-growth-grant-for-minorities,December 2026,"Small business owners in Michigan can now access the Michigan Growth Grant for Minorities to scale their operations. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Michigan Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Growth Grant for Minorities to scale their operations. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Michigan Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Growth Grant for Minorities to scale their operations. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Michigan Growth Grant for Minorities, helping you navigate the complex US grant landscape. Small business owners in Michigan can now access the Michigan Growth Grant for Minorities to scale their operations. Applying for the Michigan Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. Our directory provides the roadmap to securing the Michigan Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
New York Growth Grant for Minorities,New York,"$10,000",General,new-york-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. Applying for the New York Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. Applying for the New York Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. Applying for the New York Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the New York Growth Grant for Minorities provides exactly that for General companies. Applying for the New York Growth Grant for Minorities allows General professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for General firms that have been operational for at least 12 months. "
Illinois Green Energy Expansion Grant,Illinois,"$50,000",Sustainability,illinois-green-energy-expansion-grant,December 2026,"Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Green Energy Expansion Grant to scale their operations. This $50,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
California Women-Owned Startup Fund,California,"$25,000",Retail/Service,california-women-owned-startup-fund,December 2026,"Small business owners in California can now access the California Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. Small business owners in California can now access the California Women-Owned Startup Fund to scale their operations. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in California. Don't miss the deadline for this California-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
California Veteran Business Support Grant,California,"$5,000",Varies,california-veteran-business-support-grant,December 2026,"Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in California. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in California. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in California. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in California. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Georgia Green Energy Expansion Grant,Georgia,"$50,000",Sustainability,georgia-green-energy-expansion-grant,December 2026,"Small business owners in Georgia can now access the Georgia Green Energy Expansion Grant to scale their operations. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Green Energy Expansion Grant to scale their operations. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Green Energy Expansion Grant to scale their operations. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. Small business owners in Georgia can now access the Georgia Green Energy Expansion Grant to scale their operations. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
North Carolina Veteran Business Support Grant,North Carolina,"$5,000",Varies,north-carolina-veteran-business-support-grant,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. Applying for the North Carolina Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. Applying for the North Carolina Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. Applying for the North Carolina Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Veteran Business Support Grant provides exactly that for Varies companies. Applying for the North Carolina Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Ohio Growth Grant for Minorities,Ohio,"$10,000",General,ohio-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
Ohio Green Energy Expansion Grant,Ohio,"$50,000",Sustainability,ohio-green-energy-expansion-grant,December 2026,"The Ohio Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. The Ohio Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. The Ohio Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. The Ohio Green Energy Expansion Grant represents a significant opportunity for entrepreneurs in Ohio. Applying for the Ohio Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Sustainability firms that have been operational for at least 12 months. "
